mpnn,bb,seq,count,B1,B2,B3
v8,49,1,1,0,0,1
v8,49,2,1,1,0,0
v8,49,3,0,0,0,0
v8,49,4,1,0,0,1
v8,49,5,0,0,0,0
v8,49,6,3,2,0,1
v8,49,7,0,0,0,0
v8,49,8,1,0,1,0
v8,49,9,2,1,1,0
v8,50,0,2,2,0,0
v8,50,1,2,0,2,0
v8,50,2,1,1,0,0
v8,50,3,2,0,0,2
v8,50,4,0,0,0,0
v8,50,5,1,1,0,0
v8,50,6,0,0,0,0
v8,50,7,0,0,0,0
v8,50,8,1,0,0,1
v8,50,9,0,0,0,0
v8,51,0,0,0,0,0
v8,51,1,0,0,0,0
v8,51,2,0,0,0,0
v8,51,3,0,0,0,0
v8,51,4,0,0,0,0
v8,51,5,4,4,0,0
v8,51,6,0,0,0,0
v8,51,7,0,0,0,0
v8,51,8,0,0,0,0
v8,51,9,2,1,1,0
v8,52,0,1,0,1,0
v8,52,1,2,0,2,0
v8,52,2,3,1,2,0
v8,52,3,0,0,0,0
v8,52,4,0,0,0,0
v8,52,5,0,0,0,0
v8,52,6,0,0,0,0
v8,52,7,2,0,1,1
v8,52,8,0,0,0,0
v8,52,9,0,0,0,0
v8,53,0,0,0,0,0
v8,53,1,0,0,0,0
v8,53,2,0,0,0,0
v8,53,3,0,0,0,0
v8,53,4,3,1,2,0
v8,53,5,0,0,0,0
v8,53,6,0,0,0,0
v8,53,7,1,1,0,0
v8,53,8,0,0,0,0
v8,53,9,0,0,0,0
v8,54,0,1,0,0,1
v8,54,1,1,1,0,0
v8,54,2,2,2,0,0
v8,54,3,0,0,0,0
v8,54,4,0,0,0,0
v8,54,5,2,2,0,0
v8,54,6,2,1,1,0
v8,54,7,0,0,0,0
v8,54,8,1,0,1,0
v8,54,9,1,1,0,0
v8,55,0,1,1,0,0
v8,55,1,0,0,0,0
v8,55,2,0,0,0,0
v8,55,3,0,0,0,0
v8,55,4,1,1,0,0
v8,55,5,1,0,1,0
v8,55,6,3,2,1,0
v8,55,7,1,1,0,0
v8,55,8,0,0,0,0
v8,55,9,0,0,0,0
v8,56,0,0,0,0,0
v8,56,1,0,0,0,0
v8,56,2,1,0,1,0
v8,56,3,0,0,0,0
v8,56,4,1,1,0,0
v8,56,5,0,0,0,0
v8,56,6,1,1,0,0
v8,56,7,0,0,0,0
v8,56,8,1,1,0,0
v8,56,9,0,0,0,0
v8,57,0,1,0,1,0
v8,57,1,3,2,0,1
v8,57,2,0,0,0,0
v8,57,3,0,0,0,0
v8,57,4,2,1,0,1
v8,57,5,0,0,0,0
v8,57,6,2,2,0,0
v8,57,7,2,1,0,1
v8,57,8,1,1,0,0
v8,57,9,0,0,0,0
v8,58,0,1,1,0,0
v8,58,1,1,1,0,0
v8,58,2,3,1,2,0
v8,58,3,1,0,1,0
v8,58,4,2,1,1,0
v8,58,5,0,0,0,0
v8,58,6,0,0,0,0
v8,58,7,0,0,0,0
v8,58,8,1,0,0,1
v8,58,9,2,1,1,0
v8,59,0,0,0,0,0
v8,59,1,2,0,2,0
v8,59,2,2,1,0,1
v8,59,3,1,0,0,1
v8,59,4,1,0,1,0
v8,59,5,1,1,0,0
v8,59,6,1,0,0,1
v8,59,7,0,0,0,0
v8,59,8,2,2,0,0
v8,59,9,0,0,0,0
v8,60,0,1,1,0,0
v8,60,1,2,0,0,2
v8,60,2,2,2,0,0
v8,60,3,1,1,0,0
v8,60,4,1,1,0,0
v8,60,5,0,0,0,0
v8,60,6,0,0,0,0
v8,60,7,2,1,0,1
v8,60,8,2,0,1,1
v8,60,9,0,0,0,0
v8,61,0,0,0,0,0
v8,61,1,4,2,1,1
v8,61,2,0,0,0,0
v8,61,3,0,0,0,0
v8,61,4,0,0,0,0
v8,61,5,1,0,1,0
v8,61,6,1,1,0,0
v8,61,7,0,0,0,0
v8,61,8,1,0,0,1
v8,61,9,1,0,1,0
v8,62,0,2,2,0,0
v8,62,1,0,0,0,0
v8,62,2,0,0,0,0
v8,62,3,0,0,0,0
v8,62,4,0,0,0,0
v8,62,5,0,0,0,0
v8,62,6,1,1,0,0
v8,62,7,0,0,0,0
v8,62,8,0,0,0,0
v8,62,9,0,0,0,0
v8,63,0,0,0,0,0
v8,63,1,1,0,0,1
v8,63,2,0,0,0,0
v8,63,3,1,0,1,0
v8,63,4,3,2,0,1
v8,63,5,0,0,0,0
v8,63,6,2,1,0,1
v8,63,7,0,0,0,0
v8,63,8,1,1,0,0
v8,63,9,3,2,0,1
v8,64,0,0,0,0,0
v8,64,1,1,1,0,0
v8,64,2,0,0,0,0
v8,64,3,0,0,0,0
v8,64,4,0,0,0,0
v8,64,5,0,0,0,0
v8,64,6,2,2,0,0
v8,64,7,0,0,0,0
v8,64,8,0,0,0,0
v8,64,9,0,0,0,0
v8,65,0,0,0,0,0
v8,65,1,0,0,0,0
v8,65,2,0,0,0,0
v8,65,3,0,0,0,0
v8,65,4,0,0,0,0
v8,65,5,0,0,0,0
v8,65,6,1,1,0,0
v8,65,7,0,0,0,0
v8,65,8,0,0,0,0
v8,65,9,1,0,0,1
v8,66,0,0,0,0,0
v8,66,1,0,0,0,0
v8,66,2,1,0,0,1
v8,66,3,0,0,0,0
v8,66,4,0,0,0,0
v8,66,5,2,0,2,0
v8,66,6,1,0,0,1
v8,66,7,3,1,1,1
v8,66,8,0,0,0,0
v8,66,9,0,0,0,0
v8,67,0,0,0,0,0
v8,67,1,2,1,1,0
v8,67,2,3,2,0,1
v8,67,3,1,1,0,0
v8,67,4,0,0,0,0
v8,67,5,0,0,0,0
v8,67,6,0,0,0,0
v8,67,7,0,0,0,0
v8,67,8,0,0,0,0
v8,67,9,0,0,0,0
v8,68,0,0,0,0,0
v8,68,1,3,0,2,1
v8,68,2,0,0,0,0
v8,68,3,0,0,0,0
v8,68,4,1,1,0,0
v8,68,5,0,0,0,0
v8,68,6,0,0,0,0
v8,68,7,0,0,0,0
v8,68,8,1,0,1,0
v8,68,9,0,0,0,0
v8,69,0,1,1,0,0
v8,69,1,2,1,1,0
v8,69,2,0,0,0,0
v8,69,3,3,2,1,0
v8,69,4,1,1,0,0
v8,69,5,2,1,0,1
v8,69,6,6,4,1,1
v8,69,7,1,1,0,0
v8,69,8,3,1,0,2
v8,69,9,0,0,0,0
v8,70,0,0,0,0,0
v8,70,1,1,1,0,0
v8,70,2,0,0,0,0
v8,70,3,1,0,0,1
v8,70,4,0,0,0,0
v8,70,5,1,0,0,1
v8,70,6,2,1,1,0
v8,70,7,0,0,0,0
v8,70,8,2,2,0,0
v8,70,9,1,1,0,0
v8,71,0,0,0,0,0
v8,71,1,2,2,0,0
v8,71,2,0,0,0,0
v8,71,3,0,0,0,0
v8,71,4,3,2,0,1
v8,71,5,1,1,0,0
v8,71,6,0,0,0,0
v8,71,7,4,2,2,0
v8,71,8,1,1,0,0
v8,71,9,1,0,1,0
v8,72,0,1,1,0,0
v8,72,1,2,1,1,0
v8,72,2,0,0,0,0
v8,72,3,1,1,0,0
v8,72,4,3,2,0,1
v8,72,5,0,0,0,0
v8,72,6,0,0,0,0
v8,72,7,0,0,0,0
v8,72,8,0,0,0,0
v8,72,9,3,2,0,1
v8,73,0,0,0,0,0
v8,73,1,0,0,0,0
v8,73,2,2,2,0,0
v8,73,3,0,0,0,0
v8,73,4,0,0,0,0
v8,73,5,1,1,0,0
v8,73,6,0,0,0,0
v8,73,7,0,0,0,0
v8,73,8,1,0,0,1
v8,73,9,1,0,0,1
v8,74,0,0,0,0,0
v8,74,1,2,1,1,0
v8,74,2,0,0,0,0
v8,74,3,1,1,0,0
v8,74,4,0,0,0,0
v8,74,5,0,0,0,0
v8,74,6,3,2,0,1
v8,74,7,0,0,0,0
v8,74,8,3,2,1,0
v8,74,9,0,0,0,0
v8,75,0,0,0,0,0
v8,75,1,0,0,0,0
v8,75,2,0,0,0,0
v8,75,3,2,2,0,0
v8,75,4,0,0,0,0
v8,75,5,2,2,0,0
v8,75,6,2,0,1,1
v8,75,7,1,0,0,1
v8,75,8,1,1,0,0
v8,75,9,0,0,0,0
v8,76,0,2,1,1,0
v8,76,1,0,0,0,0
v8,76,2,1,1,0,0
v8,76,3,1,1,0,0
v8,76,4,0,0,0,0
v8,76,5,0,0,0,0
v8,76,6,0,0,0,0
v8,76,7,1,0,1,0
v8,76,8,0,0,0,0
v8,76,9,1,0,0,1
v8,77,0,0,0,0,0
v8,77,1,3,1,1,1
v8,77,2,3,1,2,0
v8,77,3,0,0,0,0
v8,77,4,0,0,0,0
v8,77,5,2,2,0,0
v8,77,6,1,1,0,0
v8,77,7,2,1,0,1
v8,77,8,2,0,1,1
v8,77,9,0,0,0,0
v8,78,0,0,0,0,0
v8,78,1,0,0,0,0
v8,78,2,0,0,0,0
v8,78,3,0,0,0,0
v8,78,4,0,0,0,0
v8,78,5,0,0,0,0
v8,78,6,0,0,0,0
v8,78,7,0,0,0,0
v8,78,8,0,0,0,0
v8,78,9,0,0,0,0
v8,79,0,1,1,0,0
v8,79,1,3,2,0,1
v8,79,2,1,1,0,0
v8,79,3,0,0,0,0
v8,79,4,1,1,0,0
v8,79,5,0,0,0,0
v8,79,6,0,0,0,0
v8,79,7,0,0,0,0
v8,79,8,1,1,0,0
v8,79,9,0,0,0,0
v8,80,0,1,1,0,0
v8,80,1,2,0,1,1
v8,80,2,0,0,0,0
v8,80,3,0,0,0,0
v8,80,4,0,0,0,0
v8,80,5,2,1,1,0
v8,80,6,0,0,0,0
v8,80,7,0,0,0,0
v8,80,8,3,2,1,0
v8,80,9,0,0,0,0
v8,81,0,0,0,0,0
v8,81,1,0,0,0,0
v8,81,2,0,0,0,0
v8,81,3,0,0,0,0
v8,81,4,0,0,0,0
v8,81,5,0,0,0,0
v8,81,6,0,0,0,0
v8,81,7,3,1,2,0
v8,81,8,0,0,0,0
v8,81,9,0,0,0,0
v8,82,0,0,0,0,0
v8,82,1,1,0,1,0
v8,82,2,0,0,0,0
v8,82,3,3,2,1,0
v8,82,4,1,1,0,0
v8,82,5,0,0,0,0
v8,82,6,1,1,0,0
v8,82,7,0,0,0,0
v8,82,8,0,0,0,0
v8,82,9,2,0,2,0
v8,83,0,2,2,0,0
v8,83,1,2,1,1,0
v8,83,2,0,0,0,0
v8,83,3,2,1,1,0
v8,83,4,2,0,1,1
v8,83,5,1,0,1,0
v8,83,6,0,0,0,0
v8,83,7,0,0,0,0
v8,83,8,0,0,0,0
v8,83,9,0,0,0,0
v8,84,0,2,1,1,0
v8,84,1,1,1,0,0
v8,84,2,3,1,2,0
v8,84,3,1,1,0,0
v8,84,4,0,0,0,0
v8,84,5,1,1,0,0
v8,84,6,5,4,1,0
v8,84,7,1,1,0,0
v8,84,8,1,1,0,0
v8,84,9,0,0,0,0
v8,85,0,0,0,0,0
v8,85,1,0,0,0,0
v8,85,2,1,1,0,0
v8,85,3,1,0,0,1
v8,85,4,0,0,0,0
v8,85,5,1,0,0,1
v8,85,6,0,0,0,0
v8,85,7,0,0,0,0
v8,85,8,0,0,0,0
v8,85,9,0,0,0,0
v8,86,0,1,1,0,0
v8,86,1,2,2,0,0
v8,86,2,0,0,0,0
v8,86,3,1,1,0,0
v8,86,4,3,2,0,1
v8,86,5,1,1,0,0
v8,86,6,1,1,0,0
v8,86,7,1,1,0,0
v8,86,8,1,1,0,0
v8,86,9,1,1,0,0
v8,87,0,1,1,0,0
v8,87,1,0,0,0,0
v8,87,2,2,2,0,0
v8,87,3,0,0,0,0
v8,87,4,1,0,0,1
v8,87,5,1,1,0,0
v8,87,6,0,0,0,0
v8,87,7,0,0,0,0
v8,87,8,1,0,1,0
v8,87,9,0,0,0,0
v8,88,0,0,0,0,0
v8,88,1,0,0,0,0
v8,88,2,3,1,2,0
v8,88,3,1,0,1,0
v8,88,4,1,1,0,0
v8,88,5,1,1,0,0
v8,88,6,2,0,2,0
v8,88,7,0,0,0,0
v8,88,8,1,0,1,0
v8,88,9,0,0,0,0
v8,89,0,1,1,0,0
v8,89,1,0,0,0,0
v8,89,2,0,0,0,0
v8,89,3,0,0,0,0
v8,89,4,0,0,0,0
v8,89,5,2,0,1,1
v8,89,6,0,0,0,0
v8,89,7,0,0,0,0
v8,89,8,0,0,0,0
v8,89,9,0,0,0,0
v8,90,0,2,2,0,0
v8,90,1,0,0,0,0
v8,90,2,0,0,0,0
v8,90,3,2,1,1,0
v8,90,4,0,0,0,0
v8,90,5,2,1,1,0
v8,90,6,0,0,0,0
v8,90,7,1,0,0,1
v8,90,8,2,1,0,1
v8,90,9,2,1,1,0
v8,91,0,1,0,1,0
v8,91,1,0,0,0,0
v8,91,2,0,0,0,0
v8,91,3,1,0,0,1
v8,91,4,1,1,0,0
v8,91,5,0,0,0,0
v8,91,6,1,1,0,0
v8,91,7,1,1,0,0
v8,91,8,0,0,0,0
v8,91,9,1,1,0,0
v8,92,0,0,0,0,0
v8,92,1,0,0,0,0
v8,92,2,0,0,0,0
v8,92,3,0,0,0,0
v8,92,4,0,0,0,0
v8,92,5,0,0,0,0
v8,92,6,0,0,0,0
v8,92,7,0,0,0,0
v8,92,8,1,1,0,0
v8,92,9,1,0,1,0
v8,93,0,1,1,0,0
v8,93,1,2,1,1,0
v8,93,2,1,1,0,0
v8,93,3,2,0,2,0
v8,93,4,0,0,0,0
v8,93,5,2,0,2,0
v8,93,6,3,1,1,1
