mpnn,bb,seq,count,B1,B2,B3
v7,37,0,1,1,0,0
v7,37,1,1,0,0,1
v7,37,2,0,0,0,0
v7,37,3,1,0,0,1
v7,37,4,2,1,1,0
v7,37,5,1,0,1,0
v7,37,6,1,0,1,0
v7,37,7,0,0,0,0
v7,37,8,2,1,1,0
v7,37,9,1,0,0,1
v7,38,0,0,0,0,0
v7,38,1,2,1,1,0
v7,38,2,1,1,0,0
v7,38,3,0,0,0,0
v7,38,4,2,0,2,0
v7,38,5,1,0,1,0
v7,38,6,1,0,1,0
v7,38,7,0,0,0,0
v7,38,8,1,1,0,0
v7,38,9,1,0,0,1
v7,39,0,1,1,0,0
v7,39,1,0,0,0,0
v7,39,2,2,2,0,0
v7,39,3,0,0,0,0
v7,39,4,1,1,0,0
v7,39,5,1,0,0,1
v7,39,6,2,0,2,0
v7,39,7,1,0,1,0
v7,39,8,2,2,0,0
v7,39,9,2,2,0,0
v7,40,0,1,0,1,0
v7,40,1,0,0,0,0
v7,40,2,1,1,0,0
v7,40,3,4,4,0,0
v7,40,4,1,0,1,0
v7,40,5,1,0,1,0
v7,40,6,2,1,1,0
v7,40,7,0,0,0,0
v7,40,8,4,2,2,0
v7,40,9,0,0,0,0
v7,41,0,3,1,0,2
v7,41,1,1,0,1,0
v7,41,2,0,0,0,0
v7,41,3,0,0,0,0
v7,41,4,3,1,2,0
v7,41,5,0,0,0,0
v7,41,6,0,0,0,0
v7,41,7,0,0,0,0
v7,41,8,2,0,0,2
v7,41,9,1,0,0,1
v7,42,0,1,0,1,0
v7,42,1,1,0,1,0
v7,42,2,2,1,1,0
v7,42,3,3,1,2,0
v7,42,4,0,0,0,0
v7,42,5,1,0,0,1
v7,42,6,1,0,0,1
v7,42,7,0,0,0,0
v7,42,8,1,0,0,1
v7,42,9,2,1,0,1
v7,43,0,0,0,0,0
v7,43,1,0,0,0,0
v7,43,2,4,2,0,2
v7,43,3,3,2,0,1
v7,43,4,1,0,0,1
v7,43,5,1,0,0,1
v7,43,6,2,2,0,0
v7,43,7,4,2,0,2
v7,43,8,1,0,1,0
v7,43,9,0,0,0,0
v7,44,0,0,0,0,0
v7,44,1,2,2,0,0
v7,44,2,0,0,0,0
v7,44,3,3,2,0,1
v7,44,4,3,1,0,2
v7,44,5,0,0,0,0
v7,44,6,0,0,0,0
v7,44,7,2,0,2,0
v7,44,8,2,2,0,0
v7,44,9,0,0,0,0
v7,45,0,0,0,0,0
