mpnn,bb,seq,count,B1,B2,B3
v2,48,3,0,0,0,0
v2,48,4,0,0,0,0
v2,48,5,0,0,0,0
v2,48,6,0,0,0,0
v2,48,7,1,1,0,0
v2,48,8,0,0,0,0
v2,48,9,0,0,0,0
v2,49,0,2,2,0,0
v2,49,1,1,1,0,0
v2,49,2,0,0,0,0
v2,49,3,0,0,0,0
v2,49,4,0,0,0,0
v2,49,5,0,0,0,0
v2,49,6,1,1,0,0
v2,49,7,0,0,0,0
v2,49,8,0,0,0,0
v2,49,9,0,0,0,0
v2,50,0,0,0,0,0
v2,50,1,0,0,0,0
v2,50,2,0,0,0,0
v2,50,3,0,0,0,0
v2,50,4,1,1,0,0
v2,50,5,0,0,0,0
v2,50,6,0,0,0,0
v2,50,7,1,1,0,0
v2,50,8,0,0,0,0
v2,50,9,0,0,0,0
v2,51,0,1,1,0,0
v2,51,1,3,3,0,0
v2,51,2,0,0,0,0
v2,51,3,1,1,0,0
v2,51,4,1,1,0,0
v2,51,5,1,1,0,0
v2,51,6,1,1,0,0
v2,51,7,0,0,0,0
v2,51,8,0,0,0,0
v2,51,9,0,0,0,0
v2,52,0,0,0,0,0
v2,52,1,0,0,0,0
v2,52,2,1,1,0,0
v2,52,3,0,0,0,0
v2,52,4,0,0,0,0
v2,52,5,0,0,0,0
v2,52,6,0,0,0,0
v2,52,7,0,0,0,0
v2,52,8,0,0,0,0
v2,52,9,0,0,0,0
v2,53,0,0,0,0,0
v2,53,1,0,0,0,0
v2,53,2,0,0,0,0
v2,53,3,0,0,0,0
v2,53,4,1,1,0,0
v2,53,5,0,0,0,0
v2,53,6,0,0,0,0
v2,53,7,0,0,0,0
v2,53,8,0,0,0,0
v2,53,9,0,0,0,0
v2,54,0,0,0,0,0
v2,54,1,2,2,0,0
v2,54,2,1,1,0,0
v2,54,3,0,0,0,0
v2,54,4,0,0,0,0
v2,54,5,0,0,0,0
v2,54,6,0,0,0,0
v2,54,7,0,0,0,0
v2,54,8,0,0,0,0
v2,54,9,0,0,0,0
v2,55,0,0,0,0,0
v2,55,1,0,0,0,0
v2,55,2,2,2,0,0
v2,55,3,0,0,0,0
v2,55,4,0,0,0,0
v2,55,5,1,1,0,0
v2,55,6,0,0,0,0
v2,55,7,0,0,0,0
v2,55,8,1,1,0,0
v2,55,9,1,1,0,0
v2,56,0,2,2,0,0
v2,56,1,0,0,0,0
v2,56,2,0,0,0,0
v2,56,3,1,1,0,0
v2,56,4,0,0,0,0
v2,56,5,0,0,0,0
v2,56,6,1,1,0,0
v2,56,7,1,1,0,0
v2,56,8,1,1,0,0
v2,56,9,0,0,0,0
v2,57,0,0,0,0,0
v2,57,1,0,0,0,0
v2,57,2,0,0,0,0
v2,57,3,1,1,0,0
v2,57,4,0,0,0,0
v2,57,5,0,0,0,0
v2,57,6,1,1,0,0
v2,57,7,0,0,0,0
v2,57,8,0,0,0,0
v2,57,9,0,0,0,0
v2,58,0,0,0,0,0
v2,58,1,1,1,0,0
v2,58,2,0,0,0,0
v2,58,3,1,1,0,0
v2,58,4,0,0,0,0
v2,58,5,0,0,0,0
v2,58,6,0,0,0,0
v2,58,7,2,2,0,0
v2,58,8,0,0,0,0
v2,58,9,0,0,0,0
v2,59,0,0,0,0,0
v2,59,1,0,0,0,0
v2,59,2,0,0,0,0
v2,59,3,0,0,0,0
v2,59,4,0,0,0,0
v2,59,5,0,0,0,0
v2,59,6,1,1,0,0
v2,59,7,1,1,0,0
v2,59,8,0,0,0,0
v2,59,9,0,0,0,0
v2,60,0,1,1,0,0
v2,60,1,0,0,0,0
v2,60,2,2,2,0,0
v2,60,3,0,0,0,0
v2,60,4,0,0,0,0
v2,60,5,0,0,0,0
v2,60,6,0,0,0,0
v2,60,7,0,0,0,0
v2,60,8,1,1,0,0
v2,60,9,0,0,0,0
v2,61,0,0,0,0,0
v2,61,1,0,0,0,0
v2,61,2,0,0,0,0
v2,61,3,0,0,0,0
v2,61,4,0,0,0,0
v2,61,5,0,0,0,0
v2,61,6,0,0,0,0
v2,61,7,0,0,0,0
v2,61,8,0,0,0,0
v2,61,9,1,1,0,0
v2,62,0,2,2,0,0
v2,62,1,0,0,0,0
v2,62,2,0,0,0,0
v2,62,3,0,0,0,0
v2,62,4,0,0,0,0
v2,62,5,0,0,0,0
v2,62,6,0,0,0,0
v2,62,7,0,0,0,0
v2,62,8,0,0,0,0
v2,62,9,0,0,0,0
v2,63,0,1,1,0,0
v2,63,1,1,1,0,0
v2,63,2,1,1,0,0
v2,63,3,0,0,0,0
v2,63,4,0,0,0,0
v2,63,5,0,0,0,0
v2,63,6,0,0,0,0
v2,63,7,1,1,0,0
v2,63,8,0,0,0,0
v2,63,9,0,0,0,0
